zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
01:59:38,2,23,118.95,9455.0,dqn-20260725-014937,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""eps_end"": 0.05}"
02:09:40,2,23,115.05,9214.7,dqn-20260725-015939,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus_bonus"": 0.02}"
02:19:42,2,23,121.75,9537.7,dqn-20260725-020941,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus_bonus"": 0.1}"
02:29:43,2,23,116.85,10256.6,dqn-20260725-021942,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.0, ""n_step"": 5}"
02:39:45,2,23,112.05,10256.1,dqn-20260725-022944,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.25, ""n_step"": 5}"
02:49:46,2,23,117.55,10098.3,dqn-20260725-023946,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.5, ""n_step"": 5}"
02:59:48,2,23,99.2,9034.6,dqn-20260725-024947,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": true, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
03:09:50,2,23,57.2,9800.9,dqn-20260725-025949,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 1, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
03:19:51,2,23,75.8,9951.6,dqn-20260725-030951,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 3, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
03:29:53,2,23,106.0,9944.8,dqn-20260725-031952,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 5, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5}"
